Position, Reimbursement type, First-tier city reimbursement standard (yuan), Second-tier city reimbursement standard (yuan), Third-tier city reimbursement standard (yuan)
Ordinary employees, Accommodation expenses, 500, 400, 300
Department head, Accommodation fee, 600, 500, 400
Department director, Accommodation fee, 700, 600, 500
Regional general manager, Accommodation fee, 800, 700, 600
Ordinary employees, Food expenses, 50, 40, 30
Department head, Food expenses, 50, 40, 30
Department director, Food expenses, 50, 40, 30
Regional general manager, Food expenses, 50, 40, 30
Ordinary employees, Transportation expenses, 50, 40, 30
Department head, Transportation expenses, 50, 40, 30
Department director, Transportation expenses, 50, 40, 30
Regional general manager, Transportation expenses, 50, 40, 30